red,green,blue,id
150,141,136,2
153,144,139,2
171,162,157,2
177,168,163,2
163,154,149,2
149,140,135,2
158,149,144,2
166,159,153,2
168,161,155,2
169,162,156,2
172,165,159,2
172,167,161,2
167,162,156,2
160,155,149,2
158,153,147,2
160,155,149,2
188,189,183,2
184,185,179,2
181,182,177,2
186,186,184,2
200,200,198,2
207,207,207,2
197,197,199,2
182,182,184,2
204,203,208,2
206,205,210,2
210,210,212,2
212,212,214,2
213,213,213,2
211,211,211,2
209,209,207,2
207,207,205,2
214,214,214,2
215,215,215,2
216,216,216,2
217,217,217,2
217,217,217,2
216,216,216,2
215,215,215,2
214,214,214,2
215,215,215,2
212,212,212,2
214,214,214,2
217,217,217,2
213,213,213,2
205,205,205,2
204,204,204,2
210,210,210,2
221,223,212,2
221,223,212,2
217,218,210,2
220,220,212,2
219,219,211,2
223,223,213,2
226,223,214,2
229,225,214,2
174,170,158,2
163,157,143,2
135,130,111,2
142,135,116,2
199,193,169,2
209,202,176,2
188,181,153,2
183,176,148,2
95,85,58,2
95,85,58,2
229,219,192,2
159,150,121,2
79,70,41,2
115,106,77,2
104,95,66,2
100,89,59,2
111,100,70,2
162,151,121,2
200,189,157,2
193,182,150,2
217,206,174,2
191,180,148,2
126,116,81,2
172,162,127,2
136,123,107,2
121,108,91,2
154,141,122,2
195,180,159,2
194,179,156,2
160,146,120,2
203,189,163,2
198,186,160,2
179,167,143,2
137,126,104,2
165,156,139,2
121,113,100,2
92,88,77,2
100,97,92,2
125,121,118,2
108,107,105,2
90,88,89,2
131,129,130,2
156,154,155,2
199,198,196,2
131,130,128,2
83,83,81,2
196,197,192,2
201,201,199,2
195,195,193,2
197,197,197,2
189,191,190,2
192,193,195,2
206,207,211,2
206,207,212,2
196,197,202,2
195,195,203,2
210,212,211,2
209,211,210,2
211,212,214,2
219,220,224,2
224,225,229,2
218,219,224,2
202,202,210,2
188,188,196,2
186,186,196,2
207,207,217,2
221,221,229,2
217,217,225,2
211,212,217,2
214,215,220,2
215,216,221,2
211,212,216,2
218,218,220,2
214,214,216,2
214,214,216,2
217,217,219,2
219,219,221,2
217,217,217,2
216,216,216,2
218,218,218,2
220,220,220,2
222,222,222,2
226,226,224,2
229,229,227,2
231,231,229,2
231,231,229,2
230,230,228,2
229,229,227,2
216,216,214,2
215,215,213,2
214,215,210,2
215,216,210,2
218,218,210,2
218,218,208,2
219,217,205,2
218,216,203,2
244,241,226,2
230,227,212,2
214,208,194,2
209,203,189,2
220,212,201,2
228,220,209,2
215,207,196,2
196,188,177,2
199,183,167,2
197,181,165,2
197,182,163,2
200,185,164,2
205,190,169,2
209,194,171,2
208,194,168,2
207,193,166,2
206,192,165,2
202,188,161,2
201,187,161,2
205,191,165,2
205,190,167,2
194,179,156,2
189,174,151,2
194,179,158,2
166,153,136,2
140,127,110,2
168,155,138,2
174,161,144,2
175,159,143,2
151,136,117,2
165,150,131,2
198,183,164,2
193,176,156,2
195,178,158,2
197,180,160,2
196,180,157,2
192,176,153,2
191,173,151,2
189,171,149,2
189,171,149,2
187,172,151,2
189,174,155,2
187,172,153,2
182,169,152,2
184,171,155,2
190,178,164,2
194,181,172,2
191,181,172,2
188,177,173,2
191,181,179,2
184,174,175,2
176,167,170,2
187,178,183,2
206,199,206,2
208,201,208,2
195,188,196,2
181,181,183,2
161,161,163,2
169,167,168,2
153,152,150,2
158,155,150,2
201,196,190,2
156,149,141,2
155,148,140,2
184,177,169,2
176,169,161,2
196,191,185,2
202,197,193,2
201,197,194,2
211,207,206,2
203,201,202,2
201,199,200,2
206,206,204,2
203,203,203,2
200,200,200,2
203,203,205,2
208,208,210,2
210,209,214,2
207,206,211,2
203,202,208,2
219,218,224,2
228,227,232,2
225,224,229,2
218,218,220,2
218,218,220,2
217,217,217,2
215,215,215,2
219,219,217,2
221,221,221,2
216,216,216,2
213,213,213,2
216,216,216,2
215,215,215,2
208,208,208,2
201,201,201,2
199,199,199,2
199,199,199,2
193,193,193,2
174,174,174,2
183,183,183,2
188,188,188,2
216,216,216,2
219,219,219,2
223,223,223,2
229,228,233,2
228,227,232,2
226,225,230,2
224,223,228,2
222,221,226,2
222,221,226,2
222,221,226,2
222,221,226,2
203,202,207,2
209,208,213,2
206,205,210,2
192,191,196,2
173,172,177,2
159,158,163,2
178,177,182,2
214,213,218,2
184,175,178,2
187,178,179,2
209,200,201,2
199,190,191,2
192,182,181,2
199,189,187,2
197,187,185,2
217,206,202,2
201,190,184,2
200,190,181,2
198,185,176,2
193,180,171,2
191,179,167,2
193,181,169,2
190,178,164,2
186,174,160,2
176,163,147,2
187,174,158,2
189,176,160,2
175,162,146,2
163,147,131,2
160,145,126,2
164,149,128,2
166,151,130,2
177,162,139,2
183,167,142,2
189,173,147,2
194,178,152,2
197,182,153,2
198,183,154,2
200,183,153,2
201,184,154,2
227,210,182,2
205,188,160,2
205,188,160,2
200,183,155,2
180,163,135,2
195,178,150,2
223,206,178,2
221,204,176,2
219,202,174,2
214,197,169,2
210,193,165,2
210,193,165,2
210,193,165,2
210,193,165,2
213,196,168,2
217,200,172,2
223,208,169,2
220,205,166,2
203,188,149,2
182,167,128,2
165,150,111,2
234,219,180,2
208,193,154,2
216,201,162,2
221,206,167,2
205,190,151,2
207,192,153,2
219,204,165,2
223,208,169,2
226,211,172,2
213,198,159,2
184,169,130,2
216,202,165,2
208,194,157,2
213,199,162,2
221,205,169,2
214,198,162,2
213,197,161,2
217,201,165,2
213,197,161,2
189,171,135,2
153,135,99,2
223,205,169,2
236,218,182,2
220,202,166,2
230,210,175,2
238,218,183,2
214,194,159,2
223,200,169,2
221,200,169,2
222,201,170,2
224,203,172,2
224,205,173,2
221,204,174,2
217,200,172,2
213,198,169,2
209,195,169,2
214,202,178,2
222,211,189,2
224,213,195,2
221,212,195,2
223,213,201,2
228,220,209,2
234,226,215,2
232,233,225,2
232,234,223,2
231,231,221,2
230,230,220,2
229,229,217,2
231,229,217,2
231,229,216,2
233,229,217,2
235,232,217,2
234,228,214,2
233,226,210,2
232,225,209,2
231,224,206,2
228,219,202,2
222,213,196,2
216,207,190,2
211,202,185,2
219,210,193,2
214,205,188,2
211,200,182,2
219,206,187,2
218,205,186,2
212,197,176,2
213,198,177,2
212,197,176,2
214,199,178,2
215,202,183,2
215,202,183,2
213,202,184,2
210,201,184,2
214,205,188,2
218,209,192,2
207,195,179,2
212,199,183,2
213,200,183,2
213,198,177,2
214,198,175,2
218,201,175,2
218,201,173,2
216,197,167,2
215,196,166,2
213,194,164,2
212,192,165,2
208,191,165,2
206,188,164,2
204,188,165,2
204,187,167,2
204,187,169,2
203,196,167,2
200,193,164,2
197,190,162,2
199,189,162,2
200,190,165,2
201,191,166,2
201,190,168,2
201,190,168,2
205,193,171,2
198,186,162,2
194,182,158,2
198,186,160,2
205,191,164,2
207,193,166,2
208,194,165,2
209,195,166,2
212,200,178,2
206,195,173,2
206,195,177,2
211,199,183,2
213,203,191,2
213,203,193,2
214,205,196,2
217,208,199,2
220,210,201,2
219,209,199,2
219,207,195,2
216,203,187,2
213,200,181,2
212,197,174,2
211,195,170,2
211,195,169,2
209,197,171,2
210,198,172,2
213,201,175,2
216,204,180,2
219,207,183,2
218,208,183,2
216,206,181,2
214,204,179,2
215,204,182,2
220,212,189,2
227,219,196,2
228,220,197,2
224,216,193,2
222,214,193,2
226,218,197,2
229,223,201,2
240,227,208,2
239,226,207,2
240,227,208,2
243,230,211,2
240,229,207,2
236,225,203,2
233,223,198,2
233,223,198,2
219,207,181,2
219,205,179,2
219,203,177,2
220,203,177,2
221,201,174,2
222,201,174,2
225,201,173,2
226,202,174,2
223,208,165,2
224,209,166,2
223,208,165,2
222,205,161,2
222,205,161,2
224,207,161,2
222,205,159,2
217,201,152,2
215,197,149,2
217,199,149,2
219,201,151,2
222,205,153,2
155,142,134,2
143,130,122,2
157,144,136,2
168,155,147,2
169,159,150,2
154,144,135,2
157,147,138,2
155,145,136,2
161,151,142,2
162,153,144,2
166,157,148,2
169,160,151,2
167,158,149,2
165,156,147,2
167,160,150,2
173,166,156,2
175,175,167,2
187,187,179,2
196,195,190,2
195,194,190,2
192,192,190,2
195,195,195,2
196,196,196,2
193,193,195,2
210,210,212,2
210,210,212,2
211,211,213,2
211,211,213,2
213,213,213,2
215,215,215,2
217,217,215,2
218,218,216,2
219,219,219,2
220,220,220,2
222,222,222,2
224,224,224,2
224,224,224,2
223,223,223,2
221,221,221,2
220,220,220,2
218,218,218,2
217,217,217,2
217,217,217,2
219,219,219,2
217,217,217,2
213,213,213,2
212,212,212,2
215,215,215,2
217,219,208,2
219,221,210,2
216,218,207,2
226,228,217,2
226,226,216,2
234,234,224,2
231,229,217,2
232,228,216,2
218,215,200,2
208,203,184,2
182,176,154,2
144,137,111,2
194,185,156,2
184,173,143,2
187,177,142,2
187,177,142,2
195,182,147,2
100,87,52,2
148,135,100,2
194,181,146,2
172,158,121,2
138,124,87,2
134,120,83,2
175,161,122,2
151,136,95,2
150,135,94,2
217,202,161,2
218,203,160,2
225,208,165,2
215,198,154,2
115,98,54,2
