,id,name,image_url,artist_id,rating,AI_Generated,logit,time,edge_score,contrast_score,brightness_score,saturation_score,num_rels
0,0,Cafe Terrace on the Place du Forum,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/Vincent+Van+Gogh/Cafe+Terrace+on+the+Place+du+Forum.jpg,0,8.0,0,-8.378802,6.175854,46.383219715250966,55.55207234168112,112.14830477799228,127.6637306949807,1
1,1,Starry Night,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/Vincent+Van+Gogh/Starry+Night.jpg,0,9.0,0,-14.644643,6.019991,47.35413584812624,54.62418061735608,124.60140224358976,62.4177483974359,1
2,2,A Digger,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/Vincent+Van+Gogh/A+Digger.jpg,0,7.0,0,-4.634872,5.785132,28.550276295731702,48.9464935227094,103.39514100609756,80.9455475101626,5
3,3,A Group of Cottages,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/Vincent+Van+Gogh/A+Group+of+Cottages.jpg,0,6.0,0,-10.061778,6.172345,67.0870015158582,52.74304825527105,166.38440123600745,80.26860424440298,0
4,4,A Pair of Shoes,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/Vincent+Van+Gogh/A+Pair+of+Shoes.jpg,0,8.0,0,-5.156153,6.156727,58.54668821157495,54.431662164573765,87.99535993833017,159.6278996679317,0
5,5,Blossoming Almond Tree,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/Vincent+Van+Gogh/Blossoming+Almond+Tree.jpg,0,10.0,0,-4.462149,5.859807,31.98057199211045,38.48558900138701,141.79714928500985,86.06569896449705,0
6,6,Branches with Almond Blossom,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/Vincent+Van+Gogh/Branches+with+Almond+Blossom.jpg,0,9.0,0,-5.099585,6.047333,42.11908874511719,41.75703286647416,127.40486755371094,106.05734558105468,0
7,7,Autumn Landscape At Dusk,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/Vincent+Van+Gogh/Autumn+Landscape+At+Dusk.jpg,0,10.0,0,1.319012,4.172192,57.60194221368715,38.66625520644157,80.86001658519552,161.00090782122905,0
8,8,Agostina Segatori Sitting In The Cafe Du Tambourin,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/Vincent+Van+Gogh/Agostina+Segatori+Sitting+In+The+Cafe+Du+Tambourin.jpg,0,9.0,0,-11.319845,5.744125,49.93020618556701,42.18784708288364,97.97784471649484,86.50749033505154,2
9,9,The Bedroom,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/Vincent+Van+Gogh/The+Bedroom.jpg,0,10.0,0,-9.623404,6.361377,54.04200495049505,43.50311641965801,125.47014232673268,128.2498360148515,0
10,10,Peach Trees in Blossom,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/Vincent+Van+Gogh/Peach+Trees+in+Blossom.jpg,0,,0,-6.296502,6.170134,74.20303852576336,52.41847708345303,163.5353619990458,62.29595658396946,0
11,11,Nude Woman Reclining,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/Vincent+Van+Gogh/Nude+Woman+Reclining.jpg,0,7.0,0,-5.857641,4.487313,44.081636469414896,34.2083677724111,170.5057263962766,130.46006482712767,1
12,12,A Path through a Ravine,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/Vincent+Van+Gogh/A+Path+through+a+Ravine.jpg,0,7.0,0,-9.417161,6.405529,78.9050622582205,59.759437331089885,122.65293459864604,75.26342178433269,0
13,13,Landscape Under A Stormy Sky,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/Vincent+Van+Gogh/Landscape+Under+A+Stormy+Sky.jpg,0,10.0,0,-7.000951,6.502962,48.648137802607074,43.54927416967966,132.91131575884543,134.2182757216015,1
14,14,Country Churchyard and Old Church Tower,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/Vincent+Van+Gogh/Country+Churchyard+and+Old+Church+Tower.jpg,0,,0,-13.799297,6.345769,40.96050728967495,60.402946713760606,126.92318654397704,55.20097992351816,1
15,15,Bank Of The Oise At Auvers,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/Vincent+Van+Gogh/Bank+Of+The+Oise+At+Auvers.jpg,0,8.0,0,-7.864182,6.174742,54.11156612669246,48.80093612382981,125.10797267891682,109.71296542553192,1
16,16,Crab On Its Back,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/Vincent+Van+Gogh/Crab+On+Its+Back.jpg,0,,0,-5.598545,6.382497,23.989903615900385,47.123959879983886,130.83528496168583,81.50845007183908,0
17,17,Wheatfield with Crows,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/Vincent+Van+Gogh/Wheatfield+with+Crows.jpg,0,10.0,0,-13.295243,3.77038,53.41824758842444,46.46758998285565,97.00579280546624,150.8619674437299,0
18,18,Fishing Boats On The Beach At Saintes Maries,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/Vincent+Van+Gogh/Fishing+Boats+On+The+Beach+At+Saintes+Maries.jpg,0,9.0,0,-5.34291,6.013512,36.188632425742576,53.82376601367955,186.17166150990096,34.46690594059406,0
19,19,Wheat Field With Reaper And Sun,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/Vincent+Van+Gogh/Wheat+Field+With+Reaper+And+Sun.jpg,0,8.0,0,-7.310961,5.87545,45.814593687872765,41.328792364321295,174.00733412027833,165.97883635685884,0
20,20,At The Foot Of The Mountains,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/Vincent+Van+Gogh/At+The+Foot+Of+The+Mountains.jpg,0,6.0,0,-3.857075,6.379634,43.64892161410019,47.97828950254201,147.31151147959184,100.73007595083487,0
21,21,Cypress against a Starry Sky,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/Vincent+Van+Gogh/Cypress+against+a+Starry+Sky.jpg,0,8.0,0,-9.575017,6.04921,74.62294520547945,58.31563473807964,122.86552409491192,100.670104574364,0
22,22,A Sower (after Millet),https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/Vincent+Van+Gogh/A+Sower+(after+Millet).jpg,0,,0,-12.308547,5.734812,58.08419360997964,64.47699693911223,134.10692782586557,52.72339931262729,1
23,23,Backyards Of Old Houses In Antwerp In The Snow,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/Vincent+Van+Gogh/Backyards+Of+Old+Houses+In+Antwerp+In+The+Snow.jpg,0,,0,-6.489612,5.750439,33.34815713205645,52.42802936314774,109.81998802923388,145.74896043346774,0
24,24,A Marsh,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/Vincent+Van+Gogh/A+Marsh.jpg,0,9.0,0,-6.167036,6.10984,72.48793218085106,62.2914141806698,157.17041827852998,42.630953820116055,0
25,25,Two Sisters Aka On The Terrace,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/images/Pierre+Auguste+Renoir/Two+Sisters+Aka+On+The+Terrace.jpg,1,10.0,0,-5.500291,6.016083,49.75377123786408,55.78642247746972,101.5279854368932,96.0027427184466,0
